,Score,TeamName
0,0.6054386188177876,USC
1,0.5958507997409404,DePaul
2,0.5920231344252668,Oregon
3,0.5892413654597293,TN Martin
4,0.586374030752197,Kansas St
5,0.5835553230373667,South Florida
6,0.5785210652195226,Toledo
7,0.5781743437272574,Northwestern
8,0.5780122072292609,Baylor
9,0.5768711110471071,Ohio
10,0.5767156002190356,Bradley
11,0.5759566249563829,Wake Forest
12,0.575442539352537,Clemson
13,0.5742296338919978,Stanford
14,0.5736711398665562,Gonzaga
15,0.5733501317986501,Purdue
16,0.5732417954173552,Iowa St
17,0.5723830986255883,Arkansas
18,0.5721997413575269,Georgia Tech
19,0.5712299215141605,Davidson
20,0.5707391899366769,West Virginia
21,0.5703768814263488,Maryland
22,0.5699141606338686,Minnesota
23,0.5698967110550849,Marquette
24,0.5691891031358659,Utah
25,0.5682603476713032,CS Fullerton
26,0.5671705909753851,Pittsburgh
27,0.5667420160129752,Connecticut
28,0.5666823245403793,UNLV
29,0.5658165019608398,Kentucky
30,0.5657572487683488,S Dakota St
31,0.5638808357416906,Oklahoma
32,0.5637014130952986,James Madison
33,0.5625905635512902,S Illinois
34,0.5625476131191789,Ohio St
35,0.5624734638817058,Syracuse
36,0.5622161629724188,Virginia Tech
37,0.5620224719770212,VCU
38,0.5618107590642581,Samford
39,0.5613857349772604,Texas
40,0.5608799182178146,Tulane
41,0.5608448792951923,Nebraska
42,0.5606822837837884,St John's
43,0.5606174108698435,Towson
44,0.5602196540654457,North Carolina
45,0.5600122370289966,Santa Clara
46,0.5596125914251325,C Michigan
47,0.5595177587057296,Miami FL
48,0.5583952393458723,Wichita St
49,0.5583931507095715,Akron
50,0.5582806508883362,UC Riverside
51,0.5577209724064601,UC Santa Barbara
52,0.5575723935621288,Manhattan
53,0.5575682550382758,Georgia
54,0.5570878793390998,New Mexico
55,0.5568305758512146,Belmont
56,0.5563167895407873,Louisville
57,0.5561056177641956,W Carolina
58,0.5560191408526411,Stetson
59,0.5553011885594836,UCLA
60,0.554239418645238,South Carolina
61,0.5541540150068632,Iona
62,0.5539259222253288,Memphis
63,0.553474485742722,Cincinnati
64,0.5533896120722169,TCU
65,0.5532559430372458,Utah St
66,0.5532555912808867,Notre Dame
67,0.5532224265106485,Drexel
68,0.5530532640741231,Tennessee
69,0.5529379055658201,Fresno St
70,0.5529330445756111,Winthrop
71,0.5528079596171053,Buffalo
72,0.552616497012475,Massachusetts
73,0.5518508803281644,Mississippi
74,0.5515659741022598,Texas A&M
75,0.5512773348082974,WKU
76,0.5509682790318563,Denver
77,0.5502448088106062,MTSU
78,0.5496423758347844,FGCU
79,0.5490521883099536,Butler
80,0.548301658040354,Arizona St
81,0.5480177727609774,WI Milwaukee
82,0.5478032222716737,Northern Iowa
83,0.5472348087349718,BYU
84,0.547172804276524,Elon
85,0.5469545342114022,Temple
86,0.5465477396094456,Idaho
87,0.5458463243293478,Iowa
88,0.5458448626950458,Chattanooga
89,0.5456622226173998,Wisconsin
90,0.5455563820313709,Illinois St
91,0.5450743809948033,Michigan
92,0.5447817453204693,Ball St
93,0.5446109246015758,Navy
94,0.5440444234596282,Wright St
95,0.5440022933584228,Houston
96,0.5439828651865801,UCF
97,0.5439604048168811,Siena
98,0.5437769990053406,Seton Hall
99,0.5430730923935477,UC Irvine
100,0.5420899547082076,N Colorado
101,0.5413898564856302,Loyola-Chicago
102,0.5410246186966242,Arizona
103,0.5409749267036377,LSU
104,0.5403932410938201,WI Green Bay
105,0.5398499322407379,Long Beach St
106,0.5396986107914588,Alabama
107,0.5392420686142816,Arkansas St
108,0.5389277105401686,Florida St
109,0.538704068577606,Oregon St
110,0.5386216829060629,CS Sacramento
111,0.5382850361007362,Fordham
112,0.5382675289840598,Rutgers
