,Score,TeamName
0,0.6300900055552162,Memphis
1,0.6299494280054162,Siena
2,0.6172839877471663,Texas
3,0.6123274709078155,North Carolina
4,0.6101933278506464,VCU
5,0.6085165306990258,Creighton
6,0.6058435772590872,Connecticut
7,0.6045183573312098,NC State
8,0.6034287465644615,West Virginia
9,0.6027387445479759,Xavier
10,0.6027180408503617,Bradley
11,0.6010466612842111,Syracuse
12,0.5977981580366148,Kent
13,0.5977519750487004,Kansas
14,0.5974555756268469,UNLV
15,0.5963872175110247,Ohio St
16,0.5956840200299531,Marquette
17,0.595334859129717,Florida St
18,0.5937219817693196,Michigan St
19,0.5937092466949566,Washington
20,0.5934845109331576,Kentucky
21,0.5931990006948479,Akron
22,0.5925323929666839,UTEP
23,0.5916783081505267,Illinois
24,0.5911668512579241,Richmond
25,0.5900790635350517,Delaware
26,0.589348950438437,Hofstra
27,0.5890333619964678,St Mary's CA
28,0.588896410203729,Seton Hall
29,0.5875303771794657,MS Valley St
30,0.5870127869779159,Cincinnati
31,0.5860444491543042,TCU
32,0.5853785243257013,Villanova
33,0.5845879643634052,Mississippi
34,0.5840106343962282,WI Milwaukee
35,0.5839606014855862,California
36,0.5838892370465164,Indiana St
37,0.5833912767821834,Col Charleston
38,0.5828982426752596,Wisconsin
39,0.5813843404071085,Loyola-Chicago
40,0.5809673180607684,Arkansas
41,0.5806498557872836,DePaul
42,0.5805038110677239,James Madison
43,0.5801787324885337,Vanderbilt
44,0.579637625700022,UCLA
45,0.5794749042420897,St Louis
46,0.5785714480554515,Duke
47,0.5774359156325689,Florida
48,0.5773997493198828,Rutgers
49,0.5773568974423248,Louisville
50,0.5763720520358268,Denver
51,0.5755545015926586,Nebraska
52,0.574471553618598,WKU
53,0.5740822602796268,George Mason
54,0.5739860580545095,Detroit
55,0.5739281883087527,Purdue
56,0.5733940977637941,Alabama
57,0.5732997083899098,Long Beach St
58,0.5726903886447151,Massachusetts
59,0.5725541347196021,Belmont
60,0.571910209197207,Virginia Tech
61,0.5718701661624225,Oregon
62,0.5713942096045396,Mississippi St
63,0.5712674647216945,Boston College
64,0.5709411578464837,W Michigan
65,0.5704453825922357,Boise St
66,0.5694337918584633,Utah St
67,0.5682578996405734,Fairfield
68,0.5676964201810641,Nevada
69,0.5675108670449868,Maryland
70,0.566954127702335,Texas A&M
71,0.5658207572652652,Jackson St
72,0.5657255991408122,Hampton
73,0.5655019507295871,Santa Clara
74,0.5654234929153841,UC Irvine
75,0.5652879780866247,Gonzaga
76,0.5651363889663761,Ark Pine Bluff
77,0.5646456572532063,USC
78,0.5646016324248773,Miami OH
79,0.5644241087909946,Ark Little Rock
80,0.5642474485893103,Loyola MD
81,0.5634580484640993,Pittsburgh
82,0.563387872031404,Toledo
83,0.5633054132088378,Tennessee
84,0.5626588945883589,Lehigh
85,0.5624681054353458,ETSU
86,0.5622465672873405,New Mexico St
87,0.5619216885523644,Oral Roberts
88,0.5618409180137898,Kansas St
89,0.5617777896213364,Charlotte
90,0.561767678841072,William & Mary
91,0.5617339138866735,Stanford
92,0.5614414016484623,TX Southern
93,0.5614104936573227,Idaho
94,0.5612678374680237,Gardner Webb
95,0.5608019948279194,Indiana
96,0.5606708883881065,Clemson
97,0.5605428952110018,Loy Marymount
98,0.5605392991843443,Rhode Island
99,0.560389562945315,Buffalo
100,0.5602572369923806,Penn St
101,0.5600929086025856,Monmouth NJ
102,0.560019349148704,Iowa St
103,0.5599141702891506,Furman
104,0.5593691374884674,BYU
105,0.5591342912669237,Washington St
106,0.5587072956035858,Canisius
107,0.5582130122621519,Arizona St
